# N=128, Tmax=2048, anz=30
0.3 9.0    0.51172    0.28906    0.07812    0.00781 
0.30101010101 8.0    0.51562    0.29688    0.08203    0.00781    0.00000 
0.30202020202 9.0    0.49609    0.26562    0.08594    0.00781 
0.30303030303 10.0    0.50391    0.27734    0.08203    0.00781 
0.30404040404 9.0    0.51953    0.27734    0.08594    0.00781 
0.305050505051 9.5    0.52734    0.29297    0.09375    0.00781    0.00000 
0.306060606061 9.0    0.52344    0.29688    0.09375    0.00781 
0.307070707071 10.0    0.51562    0.28125    0.08984    0.00781 
0.308080808081 9.0    0.53125    0.28125    0.09375    0.00781 
0.309090909091 9.0    0.53906    0.32031    0.08594    0.00781 
0.310101010101 10.0    0.53125    0.29688    0.09375    0.00781 
0.311111111111 10.0    0.51953    0.30078    0.10156    0.00781    0.00000 
0.312121212121 10.0    0.51562    0.27734    0.08594    0.00781    0.00000 
0.313131313131 9.0    0.53125    0.27344    0.09375    0.00781 
0.314141414141 10.0    0.53125    0.30469    0.09766    0.00781 
0.315151515152 11.0    0.52734    0.31250    0.12109    0.00781    0.00000 
0.316161616162 11.0    0.53906    0.30859    0.10938    0.00781    0.00000 
0.317171717172 10.0    0.51562    0.30469    0.10156    0.00781    0.00000 
0.318181818182 9.0    0.53125    0.30469    0.10938    0.00781 
0.319191919192 10.0    0.53125    0.31250    0.10938    0.00781    0.00000 
0.320202020202 10.0    0.51172    0.29297    0.10938    0.00781    0.00000 
0.321212121212 10.0    0.53516    0.31250    0.11719    0.00781    0.00000 
0.322222222222 10.0    0.53906    0.30469    0.10938    0.00781 
0.323232323232 11.0    0.54688    0.31250    0.11719    0.00781    0.00000 
0.324242424242 10.0    0.53906    0.33594    0.11719    0.00781    0.00000 
0.325252525253 11.0    0.56250    0.32422    0.11719    0.00781    0.00000 
0.326262626263 10.0    0.55469    0.30469    0.10938    0.00781    0.00000 
0.327272727273 11.0    0.55469    0.33594    0.12500    0.00781 
0.328282828283 11.5    0.55469    0.32812    0.13672    0.00781    0.00000 
0.329292929293 11.0    0.55469    0.33594    0.12500    0.00781    0.00000 
0.330303030303 11.0    0.56250    0.32812    0.13281    0.00781    0.00000 
0.331313131313 11.0    0.55859    0.33203    0.12109    0.00781    0.00000 
0.332323232323 10.0    0.54688    0.33984    0.13281    0.00781    0.00000 
0.333333333333 12.0    0.53516    0.33594    0.12891    0.00781    0.00000 
0.334343434343 11.5    0.55859    0.34375    0.14062    0.00781    0.00000 
0.335353535354 12.0    0.53906    0.33203    0.14844    0.00781    0.00000 
0.336363636364 11.0    0.56250    0.34375    0.13672    0.00781    0.00000 
0.337373737374 11.0    0.56250    0.33594    0.12500    0.00781    0.00000 
0.338383838384 11.0    0.57812    0.34375    0.14062    0.00781    0.00000 
0.339393939394 11.0    0.55469    0.35156    0.15625    0.01562    0.00000 
0.340404040404 11.5    0.57031    0.35938    0.15234    0.00781    0.00000 
0.341414141414 12.0    0.55469    0.36328    0.14062    0.00781    0.00000 
0.342424242424 11.0    0.56641    0.35156    0.13281    0.00781    0.00000 
0.343434343434 11.5    0.57031    0.35156    0.13672    0.00781    0.00000 
0.344444444444 12.0    0.57422    0.36328    0.14844    0.00781    0.00000 
0.345454545455 11.0    0.57422    0.37500    0.15234    0.01172    0.00000 
0.346464646465 12.0    0.57422    0.35156    0.13281    0.00781    0.00000 
0.347474747475 12.0    0.57812    0.35547    0.15234    0.01172    0.00000 
0.348484848485 11.0    0.58594    0.35156    0.15625    0.00781    0.00000 
0.349494949495 12.0    0.58594    0.35547    0.16016    0.00781    0.00000 
0.350505050505 13.0    0.56641    0.35547    0.15625    0.01562    0.00000 
0.351515151515 13.0    0.58984    0.37500    0.15234    0.00781    0.00000 
0.352525252525 12.0    0.58594    0.37891    0.17188    0.00781    0.00000 
0.353535353535 12.0    0.57031    0.35938    0.15625    0.01562    0.00000 
0.354545454545 13.0    0.56641    0.37891    0.16797    0.00781    0.00000 
0.355555555556 13.5    0.59375    0.37500    0.16406    0.00781    0.00000 
0.356565656566 14.0    0.58984    0.38281    0.16406    0.01562    0.00000 
0.357575757576 12.0    0.57422    0.37109    0.17188    0.00781    0.00000 
0.358585858586 13.0    0.58984    0.38281    0.16797    0.01562    0.00000 
0.359595959596 13.0    0.59766    0.39453    0.16406    0.01562    0.00000 
0.360606060606 13.0    0.59375    0.38672    0.17969    0.00781    0.00000 
0.361616161616 13.5    0.59375    0.38672    0.15625    0.01562    0.00000 
0.362626262626 12.0    0.60156    0.39844    0.17188    0.00781    0.00000 
0.363636363636 12.0    0.59375    0.38672    0.17188    0.01562    0.00000 
0.364646464646 13.5    0.60938    0.39844    0.18359    0.00781    0.00000 
0.365656565657 14.0    0.62500    0.38672    0.16797    0.01562    0.00000 
0.366666666667 13.5    0.59766    0.39062    0.17188    0.01562    0.00000 
0.367676767677 12.0    0.60938    0.39453    0.17969    0.01562    0.00000 
0.368686868687 13.0    0.60156    0.40625    0.18359    0.01562    0.00000 
0.369696969697 14.0    0.61328    0.39453    0.17188    0.01562    0.00000 
0.370707070707 15.0    0.59375    0.39844    0.20312    0.01953    0.00000 
0.371717171717 14.0    0.61719    0.41016    0.19141    0.00781    0.00000 
0.372727272727 13.5    0.62109    0.37891    0.18359    0.01562    0.00000 
0.373737373737 14.0    0.60938    0.40625    0.18750    0.01562    0.00000 
0.374747474747 13.0    0.61719    0.41406    0.18750    0.01562    0.00000 
0.375757575758 14.0    0.60156    0.41016    0.19922    0.01172    0.00000 
0.376767676768 13.0    0.58984    0.39844    0.18359    0.01562    0.00000    0.00000 
0.377777777778 14.0    0.62500    0.42578    0.20312    0.01562    0.00000 
0.378787878788 13.0    0.60156    0.40625    0.19531    0.01562    0.00000 
0.379797979798 15.0    0.62500    0.41406    0.22656    0.01953    0.00000 
0.380808080808 13.5    0.63672    0.43359    0.20703    0.01562    0.00000 
0.381818181818 15.0    0.61719    0.42188    0.21484    0.01172    0.00000 
0.382828282828 14.0    0.60547    0.41016    0.20703    0.01562    0.00000 
0.383838383838 14.0    0.64062    0.42578    0.20703    0.01562    0.00000 
0.384848484848 13.0    0.63281    0.43750    0.21484    0.00781    0.00000 
0.385858585859 14.0    0.61719    0.40625    0.19531    0.01562    0.00000 
0.386868686869 16.0    0.64062    0.42188    0.21094    0.04297    0.00781 
0.387878787879 15.5    0.62500    0.43750    0.21094    0.01562    0.00391 
0.388888888889 15.0    0.63281    0.42188    0.21094    0.02734    0.00000 
0.389898989899 16.0    0.63281    0.44141    0.23438    0.03125    0.00781 
0.390909090909 16.0    0.63281    0.44531    0.22266    0.03516    0.00781 
0.391919191919 15.0    0.63281    0.42188    0.23438    0.01562    0.00000 
0.392929292929 15.0    0.62500    0.44141    0.23828    0.02344    0.00000 
0.393939393939 14.0    0.62500    0.43359    0.22656    0.01562    0.00000 
0.394949494949 15.0    0.64453    0.42969    0.21875    0.02344    0.00000    0.00000 
0.39595959596 15.5    0.64453    0.42188    0.21875    0.03516    0.00391 
0.39696969697 15.0    0.62500    0.43750    0.23438    0.01953    0.00000 
0.39797979798 15.0    0.64062    0.44922    0.24219    0.03125    0.00000 
0.39898989899 15.0    0.63672    0.42578    0.22656    0.02344    0.00000 
0.4 15.0    0.65234    0.46484    0.25000    0.01953    0.00000 
